ORIGIN,DEST,UNIQUE_CARRIER,ORIGIN_DEGREE,DEST_DEGREE,ORIGIN_NAME,ORIGIN_CITY,ORIGIN_IATA,ORIGIN_STATE,DEST_NAME,DEST_CITY,DEST_IATA,DEST_STATE
LAX,MSY,WN,152781,33936,Los Angeles International Airport,Los Angeles,LAX,CA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
LAX,MSY,UA,152781,33936,Los Angeles International Airport,Los Angeles,LAX,CA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
LAX,MSY,DL,152781,33936,Los Angeles International Airport,Los Angeles,LAX,CA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
LAX,MSY,NK,152781,33936,Los Angeles International Airport,Los Angeles,LAX,CA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
ATL,MSY,WN,322097,33936,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
ATL,MSY,DL,322097,33936,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
ATL,MSY,NK,322097,33936,Hartsfield Jackson Atlanta International Airport,Atlanta,ATL,GA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
DTW,MSY,NK,98159,33936,Detroit Metropolitan Wayne County Airport,Detroit,DTW,MI,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
DTW,MSY,DL,98159,33936,Detroit Metropolitan Wayne County Airport,Detroit,DTW,MI,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
DTW,MSY,EV,98159,33936,Detroit Metropolitan Wayne County Airport,Detroit,DTW,MI,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
ORD,MSY,UA,150532,33936,Chicago O'Hare International Airport,Chicago,ORD,IL,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
ORD,MSY,NK,150532,33936,Chicago O'Hare International Airport,Chicago,ORD,IL,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
IAH,MSY,UA,99268,33936,George Bush Intercontinental Houston Airport,Houston,IAH,TX,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
IAH,MSY,EV,99268,33936,George Bush Intercontinental Houston Airport,Houston,IAH,TX,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
IAH,MSY,NK,99268,33936,George Bush Intercontinental Houston Airport,Houston,IAH,TX,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
MDW,MSY,WN,79129,33936,Chicago Midway International Airport,Chicago,MDW,IL,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
DCA,MSY,WN,51878,33936,Ronald Reagan Washington National Airport,Washington,DCA,VA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
DCA,MSY,AA,51878,33936,Ronald Reagan Washington National Airport,Washington,DCA,VA,Louis Armstrong New Orleans International Airport,New Orleans,MSY,LA
