ORIGIN,DEST,ORIGIN_DEGREE,DEST_DEGREE,CARRIER_AA,CARRIER_AS,CARRIER_B6,CARRIER_DL,CARRIER_EV,CARRIER_F9,CARRIER_HA,CARRIER_NK,CARRIER_OO,CARRIER_UA,CARRIER_VX,CARRIER_WN,DEP_TIME_NIGHT,DEP_TIME_TWILIGHT,DEP_TIME_MORNING,DEP_TIME_NOON,DEP_TIME_AFTERNOON,DEP_TIME_EVENING
SMF,BOS,32727,82073,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
HNL,OAK,36100,42979,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
SFO,LAX,127129,152781,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
ONT,SMF,15155,32727,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
SNA,MSP,30716,106716,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MAF,HOU,4062,46467,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
FLL,JAX,59958,14089,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
SNA,SJC,30716,32808,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
RDU,DAL,25897,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
BUF,BWI,14581,79861,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
DCA,STL,51878,43005,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
SEA,LAX,99601,152781,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
IND,EWR,20910,76557,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
SFO,EWR,127129,76557,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
SAN,OAK,60051,42979,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
IAH,CLT,99268,74006,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
IAH,DEN,99268,168003,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
OAK,LAX,42979,152781,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
DAL,MSY,57648,33936,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
PHX,SEA,115923,99601,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BOS,PBI,82073,17131,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
IAH,CVG,99268,12692,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
DEN,LGA,168003,57313,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ATL,IND,322097,20910,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
EWR,SEA,76557,99601,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
IAH,BTR,99268,5697,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
SEA,PDX,99601,43638,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CID,DEN,3493,168003,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
DEN,IAH,168003,99268,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
ATL,MEM,322097,10350,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
BUF,ATL,14581,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
PHL,DAL,45880,57648,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
SNA,PDX,30716,43638,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
MYR,ATL,3795,322097,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
LAX,OGG,152781,17168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
BOS,JFK,82073,58709,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
