ORIGIN,DEST,ORIGIN_DEGREE,DEST_DEGREE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,DEP_DELAY,DEP_TIME_NIGHT,DEP_TIME_TWILIGHT,DEP_TIME_MORNING,DEP_TIME_NOON,DEP_TIME_AFTERNOON,DEP_TIME_EVENING,CARRIER_AA,CARRIER_AS,CARRIER_B6,CARRIER_DL,CARRIER_EV,CARRIER_F9,CARRIER_HA,CARRIER_NK,CARRIER_OO,CARRIER_UA,CARRIER_VX,CARRIER_WN,MEDIAN_ARR_DELAY,MEAN_ARR_DELAY,Q1_ARR_DELAY,Q3_ARR_DELAY,Q0_ARR_DELAY,Q95_ARR_DELAY,MEDIAN_CARRIER_DELAY,MEAN_CARRIER_DELAY,Q1_CARRIER_DELAY,Q3_CARRIER_DELAY,Q0_CARRIER_DELAY,Q95_CARRIER_DELAY,MEDIAN_WEATHER_DELAY,MEAN_WEATHER_DELAY,Q1_WEATHER_DELAY,Q3_WEATHER_DELAY,Q0_WEATHER_DELAY,Q95_WEATHER_DELAY,MEDIAN_NAS_DELAY,MEAN_NAS_DELAY,Q1_NAS_DELAY,Q3_NAS_DELAY,Q0_NAS_DELAY,Q95_NAS_DELAY,MEDIAN_SECURITY_DELAY,MEAN_SECURITY_DELAY,Q1_SECURITY_DELAY,Q3_SECURITY_DELAY,Q0_SECURITY_DELAY,Q95_SECURITY_DELAY,MEDIAN_LATE_AIRCRAFT_DELAY,MEAN_LATE_AIRCRAFT_DELAY,Q1_LATE_AIRCRAFT_DELAY,Q3_LATE_AIRCRAFT_DELAY,Q0_LATE_AIRCRAFT_DELAY,Q95_LATE_AIRCRAFT_DELAY,MEDIAN_DEP_DELAY,MEAN_DEP_DELAY,Q1_DEP_DELAY,Q3_DEP_DELAY,Q0_DEP_DELAY,Q95_DEP_DELAY
LAX,MSY,152781,33936,0.0,0.0,0.0,0.0,0.0,-1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7.5,-3.9,-13.5,7.0,-20.5,16.39999999999999,0.0,0.2,0.0,0.0,0.0,1.0999999999999979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8,0.0,0.0,0.0,9.89999999999998,2.0,4.8,-1.0,5.0,-4.55,22.849999999999994
DTW,DEN,98159,168003,0.0,0.0,0.0,0.0,0.0,-3.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-8.0,-5.25,-18.25,3.0,-22.25,19.64999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.375,0.0,0.0,0.0,17.549999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.5,-3.5,-8.0,-0.75,-8.0,3.899999999999997
LBB,LAS,3117,120446,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-15.0,-13.0,-16.0,-11.0,-16.8,-7.800000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,-2.6666666666666665,-4.0,-1.5,-4.8,-0.30000000000000027
AVL,ATL,2617,322097,0.0,0.0,0.0,0.0,0.0,-8.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-12.0,-11.0,-14.0,-9.0,-16.4,-4.200000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-4.0,-5.75,-1.75,-7.55,-1.1500000000000004
DTW,LAS,98159,120446,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-10.5,-9.416666666666666,-21.5,0.5,-24.45,9.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,1.9166666666666667,-3.5,3.0,-6.35,20.249999999999996
RIC,DTW,10915,98159,0.0,0.0,0.0,0.0,0.0,-4.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-11.0,-8.333333333333334,-13.5,-4.5,-15.5,0.6999999999999988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.0,2.0,-4.5,5.5,-4.9,13.099999999999998
IAH,LCH,99268,521,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-12.0,-13.333333333333334,-15.5,-10.5,-18.3,-9.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-4.666666666666667,-6.0,-3.5,-6.8,-2.3000000000000003
MDW,SDF,79129,7932,0.0,0.0,0.0,0.0,0.0,-2.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5.0,23.333333333333332,5.0,32.5,5.0,54.49999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,30.0,0.0,53.99999999999999,16.0,26.0,7.0,40.0,-0.19999999999999996,59.199999999999996
DCA,JFK,51878,58709,0.0,0.0,0.0,0.0,0.0,-6.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2.0,2.0,0.5,3.5,-0.7,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,-3.5,-4.75,-2.25,-5.749999999999999,-1.2500000000000002
LAX,ELP,152781,8551,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,-5.0,-5.0,-5.0,-5.0,-5.0
SFO,OGG,127129,17168,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,-10.5,-11.583333333333334,-18.5,-5.5,-21.35,-2.1000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9166666666666666,-3.0,4.5,-7.45,9.899999999999999
JAX,CLT,14089,74006,0.0,0.0,0.0,0.0,0.0,-5.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.5,19.166666666666668,9.25,26.25,-2.75,43.75,0.0,3.6666666666666665,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.666666666666666,0.0,17.25,0.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6666666666666665,0.0,0.0,0.0,12.0,-1.0,5.166666666666667,-5.75,17.25,-7.5,24.25
MDW,HOU,79129,46467,0.0,0.0,0.0,0.0,0.0,2.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-6.0,5.25,-14.5,12.25,-20.299999999999997,55.099999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,0.0,0.0,0.0,29.899999999999977,0.0,2.375,0.0,0.0,0.0,12.34999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.125,0.0,0.0,0.0,26.649999999999977,1.5,13.5,-1.0,22.25,-1.65,48.14999999999999
EWR,DCA,76557,51878,0.0,0.0,0.0,0.0,0.0,-4.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-9.0,-2.1666666666666665,-15.75,-2.25,-17.5,30.25,0.0,2.3333333333333335,0.0,0.0,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.25,-3.5,-0.5,-4.75,-1.5,-6.5,12.5
CLE,LAS,25087,120446,0.0,0.0,0.0,0.0,0.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-9.0,-7.8,-12.0,-6.0,-13.600000000000001,0.3999999999999986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-2.0,-7.0,2.0,-7.800000000000001,3.5999999999999996
SFO,DTW,127129,98159,0.0,0.0,0.0,0.0,0.0,7.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,-13.0,-13.0,-14.5,-11.5,-15.7,-10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,2.5,0.25,4.75,-1.5499999999999998,6.549999999999999
